base_source,base_kind,variant,alpha,seeds,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,base_to_imp_jaccard_mean,base_to_imp_jaccard_std,base_to_imp_jaccard_ci95,base_to_imp_jaccard_n,base_to_reference_jaccard_mean,base_to_reference_jaccard_std,base_to_reference_jaccard_ci95,base_to_reference_jaccard_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_effective_base_jaccard_mean,mask_to_effective_base_jaccard_std,mask_to_effective_base_jaccard_ci95,mask_to_effective_base_jaccard_n,mask_to_reference_base_jaccard_mean,mask_to_reference_base_jaccard_std,mask_to_reference_base_jaccard_ci95,mask_to_reference_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,candidate_count_mean,candidate_count_std,candidate_count_ci95,candidate_count_n,heldout_count_mean,heldout_count_std,heldout_count_ci95,heldout_count_n,heldout_positive_count_mean,heldout_positive_count_std,heldout_positive_count_ci95,heldout_positive_count_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n,added_oracle_overlap_hits_mean,added_oracle_overlap_hits_std,added_oracle_overlap_hits_ci95,added_oracle_overlap_hits_n,added_oracle_overlap_precision_mean,added_oracle_overlap_precision_std,added_oracle_overlap_precision_ci95,added_oracle_overlap_precision_n
epoch_10,imp_overlap_random,base,0.0,5,5,0.86216,0.0027153268679847497,0.002380088939514635,5,-0.0331,0.0033158709263178127,0.0029064890159778358,5,-0.022760000000000023,0.003141337294847519,0.002753503542761466,5,0.2328287370259972,0.010330567029515647,0.009055141248653104,5,0.18517476679156916,0.0034991706311907366,0.003067158291315626,5,0.2328287370259972,0.010330567029515647,0.009055141248653104,5,1.0,0.0,0.0,5,0.18517476679156916,0.0034991706311907366,0.003067158291315626,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,225367.0,0.0,0.0,5,28336.2,622.1062610197714,545.3001804364271,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_10,imp_overlap_random,low_imp_only_residual,0.5,5,5,0.86666,0.004037078151336671,0.003538655021332248,5,-0.028600000000000004,0.004199404719719212,0.0036809405319836387,5,-0.018260000000000033,0.0039329378332233905,0.003447372007776347,5,0.2328287370259972,0.010330567029515647,0.009055141248653104,5,0.18517476679156916,0.0034991706311907366,0.003067158291315626,5,0.5253642019939954,0.007923508732073438,0.0069452616249299146,5,0.5253693019128096,0.007922241650375132,0.006944150978852215,5,0.2453581568470342,0.0027152966413995,0.0023800624447444917,5,14168.0,311.0289375604784,272.6288841630688,5,28336.2,622.1062610197714,545.3001804364271,5,28336.2,622.1062610197714,545.3001804364271,5,28336.2,622.1062610197714,545.3001804364271,5,14168.0,311.0289375604784,272.6288841630688,5,1.0,0.0,0.0,5,0.2,0.4472135954999579,0.39199999999999996,5,1.4223739421093806e-05,3.1805248239809254e-05,2.7878529265343855e-05,5
epoch_10,imp_overlap_random,oracle_imp_residual,0.5,5,5,0.89084,0.002105469068877549,0.0018455250093130876,5,-0.004420000000000002,0.0020079840636817972,0.0017600756347384758,5,0.0059199999999999696,0.002012958022413783,0.0017644355017965394,5,0.2328287370259972,0.010330567029515647,0.009055141248653104,5,0.18517476679156916,0.0034991706311907366,0.003067158291315626,5,0.5253642019939954,0.007923508732073438,0.0069452616249299146,5,0.5253693019128096,0.007922241650375132,0.006944150978852215,5,0.2748584287342803,0.00422812480965792,0.0037061148007653997,5,14168.0,311.0289375604784,272.6288841630688,5,,,,0,,,,0,,,,0,14168.0,311.0289375604784,272.6288841630688,5,1.0,0.0,0.0,5,14168.0,311.0289375604784,272.6288841630688,5,1.0,0.0,0.0,5
epoch_10,imp_overlap_random,posterior_imp_only_residual,0.5,5,5,0.88288,0.004600760806649261,0.004032744653458729,5,-0.01237999999999997,0.0030654526582545986,0.002686987726060568,5,-0.0020399999999999975,0.004409421730794177,0.0038650285587560583,5,0.2328287370259972,0.010330567029515647,0.009055141248653104,5,0.18517476679156916,0.0034991706311907366,0.003067158291315626,5,0.5253642019939954,0.007923508732073438,0.0069452616249299146,5,0.5253693019128096,0.007922241650375132,0.006944150978852215,5,0.3294756672819072,0.0041594051150230784,0.003645879332595558,5,14168.0,311.0289375604784,272.6288841630688,5,28336.2,622.1062610197714,545.3001804364271,5,28336.2,622.1062610197714,545.3001804364271,5,28336.2,622.1062610197714,545.3001804364271,5,14168.0,311.0289375604784,272.6288841630688,5,1.0,0.0,0.0,5,7841.4,134.88439494619087,118.23138507181585,5,0.5535279158123309,0.006272453579598567,0.005498047975160159,5
epoch_10,imp_overlap_random,random_imp_only_residual,0.5,5,5,0.87776,0.005214690786614311,0.004570878007560488,5,-0.01749999999999996,0.004978453575157672,0.004363806961816729,5,-0.007159999999999988,0.004208681503749164,0.0036890719917074327,5,0.2328287370259972,0.010330567029515647,0.009055141248653104,5,0.18517476679156916,0.0034991706311907366,0.003067158291315626,5,0.5253642019939954,0.007923508732073438,0.0069452616249299146,5,0.5253693019128096,0.007922241650375132,0.006944150978852215,5,0.2597884059603502,0.004082018626615114,0.003578047084736436,5,14168.0,311.0289375604784,272.6288841630688,5,28336.2,622.1062610197714,545.3001804364271,5,28336.2,622.1062610197714,545.3001804364271,5,28336.2,622.1062610197714,545.3001804364271,5,14168.0,311.0289375604784,272.6288841630688,5,1.0,0.0,0.0,5,7118.8,168.96508515074942,148.10442715867745,5,0.5024433609847948,0.0021146433910270205,0.0018535666572387778,5
epoch_10,imp_overlap_random,random_residual,0.5,5,5,0.86254,0.0030319960422137884,0.0026576617090969382,5,-0.03271999999999999,0.005078090192188407,0.004451142307318434,5,-0.02238000000000002,0.0023530830839560324,0.002062568263112769,5,0.2328287370259972,0.010330567029515647,0.009055141248653104,5,0.18517476679156916,0.0034991706311907366,0.003067158291315626,5,0.26336704799940736,0.00960993751034877,0.008423481624804654,5,0.5253693019128096,0.007922241650375132,0.006944150978852215,5,0.21628257971830916,0.0030367305077448887,0.0026618116511086887,5,14168.0,311.0289375604784,272.6288841630688,5,,,,0,225367.0,0.0,0.0,5,28336.2,622.1062610197714,545.3001804364271,5,1786.2,84.277517761263,73.87250140613894,5,0.12603153180150373,0.0037930977990904818,0.0033247968134358934,5,,,,0,,,,0
epoch_30,imp_overlap_random,base,0.0,5,5,0.86148,0.0028839209420509428,0.0025278681611191666,5,-0.03377999999999999,0.0016887865466067775,0.0014802866749383495,5,-0.023440000000000016,0.0029996666481461125,0.002629323745756711,5,0.2291502444834271,0.013987277813466278,0.012260389572345405,5,0.18025913159446733,0.0035111605485682435,0.003077667917273505,5,0.2291502444834271,0.013987277813466278,0.012260389572345405,5,1.0,0.0,0.0,5,0.18025913159446733,0.0035111605485682435,0.003077667917273505,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,225367.0,0.0,0.0,5,28560.8,848.65640868375,743.8801403882214,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0
epoch_30,imp_overlap_random,low_imp_only_residual,0.5,5,5,0.8682,0.0032287768581925583,0.0028301476993259295,5,-0.027059999999999994,0.0020513410247932485,0.00179807968677694,5,-0.016720000000000023,0.00389319919860259,0.0034125395587450533,5,0.2291502444834271,0.013987277813466278,0.012260389572345405,5,0.18025913159446733,0.0035111605485682435,0.003077667917273505,5,0.5225307805795135,0.010758718826093193,0.009430432845212836,5,0.522530756215852,0.010756562287121752,0.00942854255546022,5,0.2397690114068297,0.004116824772377744,0.0036085560166567595,5,14280.4,424.2862241459178,371.903272929938,5,28560.8,848.65640868375,743.8801403882214,5,28560.8,848.65640868375,743.8801403882214,5,28560.8,848.65640868375,743.8801403882214,5,14280.4,424.2862241459178,371.903272929938,5,1.0,0.0,0.0,5,0.2,0.4472135954999579,0.39199999999999996,5,1.409046075806679e-05,3.150722808933056e-05,2.7617303085810904e-05,5
epoch_30,imp_overlap_random,oracle_imp_residual,0.5,5,5,0.89034,0.0020464603587658638,0.001793801594379959,5,-0.004919999999999991,0.002171865557533424,0.001903724097657005,5,0.00541999999999998,0.0019942417105256144,0.0017480299310938866,5,0.2291502444834271,0.013987277813466278,0.012260389572345405,5,0.18025913159446733,0.0035111605485682435,0.003077667917273505,5,0.5225307805795135,0.010758718826093193,0.009430432845212836,5,0.522530756215852,0.010756562287121752,0.00942854255546022,5,0.2698409498141005,0.005827228303334523,0.005107790813813368,5,14280.4,424.2862241459178,371.903272929938,5,,,,0,,,,0,,,,0,14280.4,424.2862241459178,371.903272929938,5,1.0,0.0,0.0,5,14280.4,424.2862241459178,371.903272929938,5,1.0,0.0,0.0,5
epoch_30,imp_overlap_random,posterior_imp_only_residual,0.5,5,5,0.88354,0.0017067512999848504,0.0014960334755612864,5,-0.011719999999999953,0.0029063723092542576,0.0025475476521549,5,-0.0013799999999999813,0.0018780308836651286,0.001646166650129937,5,0.2291502444834271,0.013987277813466278,0.012260389572345405,5,0.18025913159446733,0.0035111605485682435,0.003077667917273505,5,0.5225307805795135,0.010758718826093193,0.009430432845212836,5,0.522530756215852,0.010756562287121752,0.00942854255546022,5,0.3390044397708426,0.007582909197848425,0.006646712969970212,5,14280.4,424.2862241459178,371.903272929938,5,28560.8,848.65640868375,743.8801403882214,5,28560.8,848.65640868375,743.8801403882214,5,28560.8,848.65640868375,743.8801403882214,5,14280.4,424.2862241459178,371.903272929938,5,1.0,0.0,0.0,5,7915.2,187.0954301953952,163.9963752770164,5,0.5543731752921875,0.006586391272275953,0.005773226495598379,5
epoch_30,imp_overlap_random,random_imp_only_residual,0.5,5,5,0.8778600000000001,0.002905684084686415,0.0025469443967232473,5,-0.01739999999999995,0.002021138293140764,0.0017716058252331326,5,-0.007059999999999978,0.0030664311503766145,0.0026878454122214756,5,0.2291502444834271,0.013987277813466278,0.012260389572345405,5,0.18025913159446733,0.0035111605485682435,0.003077667917273505,5,0.5225307805795135,0.010758718826093193,0.009430432845212836,5,0.522530756215852,0.010756562287121752,0.00942854255546022,5,0.2543766737731944,0.004568897603678769,0.0040048153246321555,5,14280.4,424.2862241459178,371.903272929938,5,28560.8,848.65640868375,743.8801403882214,5,28560.8,848.65640868375,743.8801403882214,5,28560.8,848.65640868375,743.8801403882214,5,14280.4,424.2862241459178,371.903272929938,5,1.0,0.0,0.0,5,7108.6,213.18137817361065,186.86171682824707,5,0.497789142506056,0.0024356931640875487,0.0021349791909946727,5
epoch_30,imp_overlap_random,random_residual,0.5,5,5,0.86138,0.001375499909123965,0.0012056788295396197,5,-0.03387999999999998,0.003580083797901926,0.0031380818090036957,5,-0.023540000000000005,0.00046690470119714145,0.00040926001514928595,5,0.2291502444834271,0.013987277813466278,0.012260389572345405,5,0.18025913159446733,0.0035111605485682435,0.003077667917273505,5,0.2594891802507562,0.013245863090388095,0.011610510913979182,5,0.522530756215852,0.010756562287121752,0.00942854255546022,5,0.21119346824268703,0.0031529753625318883,0.0027637047588653114,5,14280.4,424.2862241459178,371.903272929938,5,,,,0,225367.0,0.0,0.0,5,28560.8,848.65640868375,743.8801403882214,5,1785.8,86.69890426066526,75.99494025262472,5,0.12500194643246582,0.0026111278272919047,0.0022887544533482834,5,,,,0,,,,0
traj_rms_abs,imp_overlap_random,base,0.0,5,5,0.86254,0.0011674759098156962,0.0010233377546049938,5,-0.03271999999999999,0.003718467426238897,0.0032593804073780324,5,-0.02238000000000002,0.001999249859322246,0.001752419767064962,5,0.2381896034025137,0.01038192677948471,0.009100160054410486,5,0.22803991292604664,0.00738297355170441,0.006471461649176094,5,0.2381896034025137,0.01038192677948471,0.009100160054410486,5,1.0,0.0,0.0,5,0.22803991292604664,0.00738297355170441,0.006471461649176094,5,0.0,0.0,0.0,5,225367.0,0.0,0.0,5,225367.0,0.0,0.0,5,28016.4,620.0437887762445,543.4923438062398,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0
traj_rms_abs,imp_overlap_random,low_imp_only_residual,0.5,5,5,0.86816,0.0016164776521808031,0.0014169051344391304,5,-0.027099999999999968,0.003512121865767183,0.0030785105489505747,5,-0.016759999999999997,0.0005412947441089721,0.00047446576272687805,5,0.2381896034025137,0.01038192677948471,0.009100160054410486,5,0.22803991292604664,0.00738297355170441,0.006471461649176094,5,0.5294582274333222,0.007932562133109992,0.006953197280826873,5,0.5294685792867522,0.007941776092421835,0.006961273672257247,5,0.28611422789707247,0.006235574221770238,0.005465721792740452,5,14008.0,310.19912959258926,271.9015254094761,5,28016.4,620.0437887762445,543.4923438062398,5,28016.4,620.0437887762445,543.4923438062398,5,28016.4,620.0437887762445,543.4923438062398,5,14008.0,310.19912959258926,271.9015254094761,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5
traj_rms_abs,imp_overlap_random,oracle_imp_residual,0.5,5,5,0.88968,0.00258495647932417,0.0022658142554057704,5,-0.005579999999999963,0.0037412564734324275,0.003279355887975569,5,0.004760000000000009,0.0018822858443924033,0.0016498962876496258,5,0.2381896034025137,0.01038192677948471,0.009100160054410486,5,0.22803991292604664,0.00738297355170441,0.006471461649176094,5,0.5294582274333222,0.007932562133109992,0.006953197280826873,5,0.5294685792867522,0.007941776092421835,0.006961273672257247,5,0.316217917000635,0.006235642918912673,0.005465782008440746,5,14008.0,310.19912959258926,271.9015254094761,5,,,,0,,,,0,,,,0,14008.0,310.19912959258926,271.9015254094761,5,1.0,0.0,0.0,5,14008.0,310.19912959258926,271.9015254094761,5,1.0,0.0,0.0,5
traj_rms_abs,imp_overlap_random,posterior_imp_only_residual,0.5,5,5,0.88452,0.0031877892025665806,0.0027942204351124587,5,-0.010740000000000017,0.0023319519720612037,0.0020440460268790683,5,-0.00040000000000004474,0.0028539446385660787,0.002501592772615089,5,0.2381896034025137,0.01038192677948471,0.009100160054410486,5,0.22803991292604664,0.00738297355170441,0.006471461649176094,5,0.5294582274333222,0.007932562133109992,0.006953197280826873,5,0.5294685792867522,0.007941776092421835,0.006961273672257247,5,0.37058163281026796,0.005664677031602937,0.004965308341992389,5,14008.0,310.19912959258926,271.9015254094761,5,28016.4,620.0437887762445,543.4923438062398,5,28016.4,620.0437887762445,543.4923438062398,5,28016.4,620.0437887762445,543.4923438062398,5,14008.0,310.19912959258926,271.9015254094761,5,1.0,0.0,0.0,5,7676.6,139.76158270426103,122.50642863131712,5,0.5480563181661884,0.0029268497705454213,0.002565496938372736,5
traj_rms_abs,imp_overlap_random,random_imp_only_residual,0.5,5,5,0.8763799999999999,0.004241108345703965,0.0037174953718868108,5,-0.018880000000000008,0.004635946505299647,0.004063586278153819,5,-0.008540000000000037,0.0032238176127070027,0.002825800728996987,5,0.2381896034025137,0.01038192677948471,0.009100160054410486,5,0.22803991292604664,0.00738297355170441,0.006471461649176094,5,0.5294582274333222,0.007932562133109992,0.006953197280826873,5,0.5294685792867522,0.007941776092421835,0.006961273672257247,5,0.3013439332434811,0.005815064813606608,0.005097129044982276,5,14008.0,310.19912959258926,271.9015254094761,5,28016.4,620.0437887762445,543.4923438062398,5,28016.4,620.0437887762445,543.4923438062398,5,28016.4,620.0437887762445,543.4923438062398,5,14008.0,310.19912959258926,271.9015254094761,5,1.0,0.0,0.0,5,6999.6,151.44074748891066,132.74366793184524,5,0.4996974293920989,0.0029291578718859505,0.002567520078399317,5
traj_rms_abs,imp_overlap_random,random_residual,0.5,5,5,0.86128,0.002229798197146994,0.001954504295211445,5,-0.03397999999999999,0.0031348046191110456,0.0027477774000089525,5,-0.023640000000000015,0.0012361229712290003,0.001083509556949088,5,0.2381896034025137,0.01038192677948471,0.009100160054410486,5,0.22803991292604664,0.00738297355170441,0.006471461649176094,5,0.2678937207903974,0.009552866798056786,0.008373456939858645,5,0.5294685792867522,0.007941776092421835,0.006961273672257247,5,0.2583863256853115,0.007891491775355943,0.006917197525001944,5,14008.0,310.19912959258926,271.9015254094761,5,,,,0,225367.0,0.0,0.0,5,28016.4,620.0437887762445,543.4923438062398,5,1723.8,79.80726783946434,69.95415458712941,5,0.1230102107166964,0.003140926432259486,0.0027531434058243745,5,,,,0,,,,0
