base_source,variant,alpha,runs,rows,trained_accuracy_mean,trained_accuracy_std,trained_accuracy_ci95,trained_accuracy_n,accuracy_minus_imp_mean,accuracy_minus_imp_std,accuracy_minus_imp_ci95,accuracy_minus_imp_n,accuracy_minus_dense_mean,accuracy_minus_dense_std,accuracy_minus_dense_ci95,accuracy_minus_dense_n,mask_to_imp_jaccard_mean,mask_to_imp_jaccard_std,mask_to_imp_jaccard_ci95,mask_to_imp_jaccard_n,mask_to_base_jaccard_mean,mask_to_base_jaccard_std,mask_to_base_jaccard_ci95,mask_to_base_jaccard_n,swap_count_mean,swap_count_std,swap_count_ci95,swap_count_n,predictor_auc_mean,predictor_auc_std,predictor_auc_ci95,predictor_auc_n,predictor_topk_recall_mean,predictor_topk_recall_std,predictor_topk_recall_ci95,predictor_topk_recall_n,predictor_topk_precision_mean,predictor_topk_precision_std,predictor_topk_precision_ci95,predictor_topk_precision_n,predictor_baseline_precision_mean,predictor_baseline_precision_std,predictor_baseline_precision_ci95,predictor_baseline_precision_n,added_imp_only_hits_mean,added_imp_only_hits_std,added_imp_only_hits_ci95,added_imp_only_hits_n,added_imp_only_precision_mean,added_imp_only_precision_std,added_imp_only_precision_ci95,added_imp_only_precision_n
epoch_10,base,0.0,5,5,0.8711800000000001,0.0016634301909007009,0.0014580608492103324,5,-0.02465999999999997,0.0019125898671696743,0.0016764589347789244,5,-0.013859999999999961,0.0016652327164693775,0.0014596408325338072,5,0.2387763912479727,0.006839420041322374,0.00599501599051593,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.6223945427718536,0.004310707892347112,0.0037785020643457314,5,,,,0,,,,0,0.1236571803689003,0.0018262649449140547,0.001600791804207072,5,0.0,0.0,0.0,5,,,,0
epoch_10,heldout_predictor_residual,0.5,5,5,0.87282,0.0029012066455183657,0.0025430197482520546,5,-0.023019999999999995,0.0023091123835794394,0.0020240262448891167,5,-0.012219999999999986,0.004020199000049631,0.003523859792897561,5,0.2837959147087715,0.006985055669620047,0.006122671247125169,5,0.529922499098435,0.005209868817637113,0.004566651365396471,5,13989.6,202.80236685009373,177.76411228366652,5,0.6223945427718536,0.004310707892347112,0.0037785020643457314,5,0.462533177379139,0.004676573731342486,0.004099197611908082,5,0.18427920902750386,0.0020804779679724703,0.0018236193435342126,5,0.12365717835511282,0.0018262651182800256,0.0016007919561690457,5,2577.8,31.689114850370938,27.776733861273176,5,0.18427920902750386,0.0020804779679724703,0.0018236193435342126,5
epoch_10,heldout_random_residual,0.5,5,5,0.87238,0.003093056740507668,0.0027111837709753164,5,-0.02345999999999999,0.003063984334163605,0.0026857006832482263,5,-0.012659999999999982,0.002736421020237965,0.0023985787791940757,5,0.2686901796343211,0.005707606119699056,0.005002937346796829,5,0.529922499098435,0.005209868817637113,0.004566651365396471,5,13989.6,202.80236685009373,177.76411228366652,5,0.6223945427718536,0.004310707892347112,0.0037785020643457314,5,,,,0,,,,0,0.1236571803689003,0.0018262649449140547,0.001600791804207072,5,1733.8,86.23050504316903,75.58437023618043,5,0.1238864067435986,0.004470337709459843,0.003918423768287302,5
epoch_10,oracle_imp_residual,0.5,5,5,0.88896,0.001820164827701014,0.0015954448157175145,5,-0.006879999999999997,0.002502398849104561,0.002193449301898694,5,0.003920000000000012,0.0030703420004943812,0.0026912734234930268,5,0.5299225881739226,0.0052261804363615974,0.004580949129606545,5,0.529922499098435,0.005209868817637113,0.004566651365396471,5,13989.6,202.80236685009373,177.76411228366652,5,,,,0,,,,0,,,,0,,,,0,13989.6,202.80236685009373,177.76411228366652,5,1.0,0.0,0.0,5
epoch_30,base,0.0,5,5,0.88082,0.0011009087155618405,0.0009649890362071563,5,-0.015019999999999967,0.0022609732417700453,0.001981830426651108,5,-0.004219999999999957,0.00192145777991607,0.0016842320030209595,5,0.2357462055891146,0.008730876957404772,0.0076529510769378925,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.6261565435056259,0.006672077595581945,0.005848333869510835,5,,,,0,,,,0,0.125272336602211,0.002315651046306081,0.002029757635469893,5,0.0,0.0,0.0,5,,,,0
epoch_30,heldout_predictor_residual,0.5,5,5,0.87926,0.0010784247771634054,0.0009452809952601154,5,-0.016579999999999994,0.002119433886678241,0.0018577657118162196,5,-0.005779999999999985,0.0015770225109363353,0.001382321178308412,5,0.28142671578733247,0.008560595716805904,0.007503692988663243,5,0.5276012382150428,0.006676568734788573,0.005852270526595309,5,14080.4,260.8482317363873,228.64355616548653,5,0.6261565435056259,0.006672077595581945,0.005848333869510835,5,0.46531278689774724,0.00523718529959205,0.0045905953175349665,5,0.18658817108719952,0.0009780881080633402,0.0008573320270646052,5,0.12527233598828566,0.0023156516817322546,0.0020297581924454914,5,2627.2,48.11652522782583,42.175993930196825,5,0.18658817108719952,0.0009780881080633402,0.0008573320270646052,5
epoch_30,heldout_random_residual,0.5,5,5,0.88054,0.002458251411064394,0.002154752366282507,5,-0.015300000000000003,0.0026804850307360524,0.002349548722627399,5,-0.004499999999999993,0.0023484037131635362,0.002058466613768661,5,0.26605262268036806,0.00823489192387279,0.007218201026624284,5,0.5276012382150428,0.006676568734788573,0.005852270526595309,5,14080.4,260.8482317363873,228.64355616548653,5,0.6261565435056259,0.006672077595581945,0.005848333869510835,5,,,,0,,,,0,0.125272336602211,0.002315651046306081,0.002029757635469893,5,1764.4,54.83429583755043,48.064379492509836,5,0.12528746209992958,0.0017465650382449281,0.00153093175583495,5
epoch_30,oracle_imp_residual,0.5,5,5,0.88924,0.0026053790511171193,0.002283715428857097,5,-0.0065999999999999835,0.003584689665786962,0.003142119030208734,5,0.004200000000000026,0.0035156791662493874,0.0030816286603028583,5,0.5276063571330516,0.006675633217395485,0.005851450509445158,5,0.5276012382150428,0.006676568734788573,0.005852270526595309,5,14080.4,260.8482317363873,228.64355616548653,5,,,,0,,,,0,,,,0,,,,0,14080.4,260.8482317363873,228.64355616548653,5,1.0,0.0,0.0,5
traj_rms_abs,base,0.0,5,5,0.87398,0.0016361540269790766,0.001434152237386214,5,-0.02185999999999999,0.00262735608549732,0.0023029791488417446,5,-0.011059999999999981,0.0027996428343629435,0.0024539951426194445,5,0.24374695990518697,0.007188652854668463,0.006301132048277146,5,1.0,0.0,0.0,5,0.0,0.0,0.0,5,0.6204433689928939,0.0071135883889710495,0.006235335143063452,5,,,,0,,,,0,0.12306702584028244,0.002586529068148941,0.0022671926902868055,5,0.0,0.0,0.0,5,,,,0
traj_rms_abs,heldout_predictor_residual,0.5,5,5,0.8744000000000001,0.0013057564857200412,0.0011445460235394481,5,-0.02143999999999997,0.0024825390228554287,0.0021760413966650516,5,-0.01063999999999996,0.0010139033484509556,0.0008887254694223891,5,0.2884206060208894,0.007008393315613738,0.006143127595772843,5,0.5337118033154773,0.005459586129380967,0.004785538240009835,5,13842.6,211.48711544678082,185.3766300697043,5,0.6204433689928939,0.0071135883889710495,0.006235335143063452,5,0.4577506442326569,0.00664914735545903,0.005828234627853984,5,0.18340422452210536,0.0016349570941794607,0.0014331030795292734,5,0.12306702460453044,0.002586528270838289,0.0022671919914132054,5,2538.8,45.54338590838411,39.92053787212793,5,0.18340422452210536,0.0016349570941794607,0.0014331030795292734,5
traj_rms_abs,heldout_random_residual,0.5,5,5,0.87444,0.0031667017541915626,0.002775736471641344,5,-0.021399999999999995,0.0025709920264365073,0.002253573872763011,5,-0.010599999999999988,0.0034080786375903973,0.0029873126384762634,5,0.2734301887590834,0.006115707553999175,0.0053606540259304395,5,0.5337118033154773,0.005459586129380967,0.004785538240009835,5,13842.6,211.48711544678082,185.3766300697043,5,0.6204433689928939,0.0071135883889710495,0.006235335143063452,5,,,,0,,,,0,0.12306702584028244,0.002586529068148941,0.0022671926902868055,5,1707.2,80.70439888878424,70.74052462344338,5,0.12328189607941978,0.003966294339391593,0.0034766102745676718,5
traj_rms_abs,oracle_imp_residual,0.5,5,5,0.88658,0.00278603661138903,0.002442068762340662,5,-0.00925999999999998,0.002782624660280315,0.0024390780553315847,5,0.0015400000000000303,0.0038888301582866974,0.0034087099260570863,5,0.5337015653003143,0.005476182599448797,0.004800085687431052,5,0.5337118033154773,0.005459586129380967,0.004785538240009835,5,13842.6,211.48711544678082,185.3766300697043,5,,,,0,,,,0,,,,0,,,,0,13842.6,211.48711544678082,185.3766300697043,5,1.0,0.0,0.0,5
